Week,AwayTeam,HomeTeam,Spread
1,BUF,LAR,2.8
1,NO,ATL,6.2
1,CLE,CAR,-2.6
1,SF,CHI,7.8
1,PIT,CIN,-6.9
1,PHI,DET,4.5
1,IND,HOU,9.0
1,NE,MIA,-3.2
1,BAL,NYJ,7.8
1,JAX,WAS,-3.2
1,KC,ARI,4.5
1,LV,LAC,-3.7
1,GB,MIN,1.7
1,NYG,TEN,-5.8
1,TB,DAL,1.7
1,DEN,SEA,6.7
2,LAC,KC,-3.2
2,MIA,BAL,-4.2
2,NYJ,CLE,-5.8
2,WAS,DET,1.1
2,IND,JAX,5.0
2,TB,NO,3.4
2,CAR,NYG,-1.1
2,NE,PIT,1.7
2,ATL,LAR,-13.8
2,SEA,SF,-9.0
2,CIN,DAL,-2.1
2,HOU,DEN,-11.1
2,ARI,LV,-2.6
2,CHI,GB,-10.1
2,TEN,BUF,-7.4
2,MIN,PHI,-2.6
3,PIT,CLE,-4.2
3,NO,CAR,1.1
3,HOU,CHI,-3.7
3,KC,IND,2.8
3,BUF,MIA,3.9
3,DET,MIN,-6.9
3,BAL,NE,0.0
3,CIN,NYJ,5.0
3,LV,TEN,-2.6
3,PHI,WAS,1.7
3,JAX,LAC,-10.6
3,LAR,ARI,1.1
3,ATL,SEA,-3.7
3,GB,TB,-3.7
3,SF,DEN,-3.2
3,DAL,NYG,3.4
4,MIA,CIN,-4.2
4,MIN,NO,1.7
4,CLE,ATL,5.0
4,BUF,BAL,1.1
4,WAS,DAL,-6.3
4,SEA,DET,-1.1
4,LAC,HOU,9.0
4,TEN,IND,-3.2
4,CHI,NYG,-3.2
4,JAX,PHI,-7.4
4,NYJ,PIT,-4.2
4,ARI,CAR,1.7
4,NE,GB,-5.8
4,DEN,LV,0.0
4,KC,TB,-2.6
4,LAR,SF,0.0
5,IND,DEN,-3.7
5,NYG,GB,-6.9
5,PIT,BUF,-10.1
5,LAC,CLE,3.4
5,HOU,JAX,-3.7
5,CHI,MIN,-6.3
5,DET,NE,-6.9
5,SEA,NO,-6.3
5,MIA,NYJ,3.4
5,ATL,TB,-11.6
5,TEN,WAS,-1.1
5,SF,CAR,2.8
5,PHI,ARI,-2.6
5,DAL,LAR,-5.8
5,CIN,BAL,-2.6
5,LV,KC,-6.3
6,BYE,DET,None
6,BYE,HOU,None
6,BYE,LV,None
6,BYE,TEN,None
6,WAS,CHI,0.0
6,SF,ATL,6.7
6,NE,CLE,-2.1
6,NYJ,GB,-10.1
6,JAX,IND,-7.9
6,MIN,MIA,-3.2
6,CIN,NO,1.1
6,BAL,NYG,3.9
6,TB,PIT,6.2
6,CAR,LAR,-9.0
6,ARI,SEA,2.8
6,BUF,KC,1.1
6,DAL,PHI,-1.1
6,DEN,LAC,-3.2
7,BYE,BUF,None
7,BYE,LAR,None
7,BYE,MIN,None
7,BYE,PHI,None
7,NO,ARI,-3.2
7,CLE,BAL,-6.9
7,TB,CAR,6.2
7,ATL,CIN,-10.6
7,DET,DAL,-7.4
7,NYG,JAX,-1.6
7,IND,TEN,-1.1
7,GB,WAS,3.9
7,NYJ,DEN,-8.5
7,HOU,LV,-8.5
7,SEA,LAC,-9.0
7,KC,SF,1.1
7,PIT,MIA,-4.8
7,CHI,NE,-6.3
8,BYE,KC,None
8,BYE,LAC,None
8,BAL,TB,-4.2
8,DEN,JAX,7.8
8,CAR,ATL,-1.1
8,CHI,DAL,-7.4
8,MIA,DET,3.4
8,ARI,MIN,-1.6
8,LV,NO,-1.1
8,NE,NYJ,2.2
8,PIT,PHI,-4.2
8,TEN,HOU,5.6
8,WAS,IND,-6.3
8,SF,LAR,-4.8
8,NYG,SEA,-2.6
8,GB,BUF,-4.2
8,CIN,CLE,3.4
9,BYE,CLE,None
9,BYE,DAL,None
9,BYE,DEN,None
9,BYE,NYG,None
9,BYE,PIT,None
9,BYE,SF,None
9,PHI,HOU,6.2
9,LAC,ATL,7.8
9,MIA,CHI,3.4
9,CAR,CIN,-7.9
9,GB,DET,6.7
9,LV,JAX,3.4
9,IND,NE,0.0
9,BUF,NYJ,7.8
9,MIN,WAS,0.0
9,SEA,ARI,-7.4
9,LAR,TB,-2.1
9,TEN,KC,-6.3
9,BAL,NO,0.0
10,BYE,BAL,None
10,BYE,CIN,None
10,BYE,NE,None
10,BYE,NYJ,None
10,ATL,CAR,-4.8
10,SEA,TB,-10.1
10,MIN,BUF,-8.5
10,DET,CHI,-2.1
10,JAX,KC,-11.1
10,CLE,MIA,-4.8
10,HOU,NYG,-3.2
10,NO,PIT,-1.6
10,DEN,TEN,0.0
10,IND,LV,-2.1
10,DAL,GB,-4.8
10,ARI,LAR,-6.3
10,LAC,SF,-1.6
10,WAS,PHI,-3.7
11,BYE,JAX,None
11,BYE,MIA,None
11,BYE,SEA,None
11,BYE,TB,None
11,TEN,GB,-4.8
11,CHI,ATL,-1.6
11,CAR,BAL,-6.9
11,CLE,BUF,-9.5
11,WAS,HOU,2.8
11,PHI,IND,-3.2
11,NYJ,NE,-6.9
11,LAR,NO,3.4
11,DET,NYG,-2.1
11,LV,DEN,-3.7
11,KC,LAC,-2.6
11,DAL,MIN,-1.1
11,CIN,PIT,2.8
11,SF,ARI,2.2
12,BUF,DET,10.1
12,NYG,DAL,-7.4
12,NE,MIN,-2.6
12,DEN,CAR,2.8
12,TB,CLE,3.9
12,BAL,JAX,4.5
12,HOU,MIA,-7.4
12,CHI,NYJ,-2.6
12,CIN,TEN,0.0
12,ATL,WAS,-5.3
12,LAC,ARI,1.1
12,LV,SEA,2.2
12,LAR,KC,-3.2
12,NO,SF,-4.8
12,GB,PHI,0.0
12,PIT,IND,-5.8
13,BYE,ARI,None
13,BYE,CAR,None
13,BUF,NE,3.4
13,PIT,ATL,1.7
13,DEN,BAL,-1.6
13,GB,CHI,5.0
13,JAX,DET,-2.1
13,CLE,HOU,6.7
13,NYJ,MIN,-5.8
13,WAS,NYG,-1.1
13,TEN,PHI,-2.1
13,SEA,LAR,-11.1
13,MIA,SF,-4.2
13,KC,CIN,0.0
13,LAC,LV,0.0
13,IND,DAL,-2.6
13,NO,TB,-7.4
14,BYE,ATL,None
14,BYE,CHI,None
14,BYE,GB,None
14,BYE,IND,None
14,BYE,NO,None
14,BYE,WAS,None
14,LV,LAR,-5.3
14,NYJ,BUF,-11.6
14,CLE,CIN,-1.6
14,HOU,DAL,-8.5
14,MIN,DET,2.2
14,PHI,NYG,1.1
14,BAL,PIT,2.2
14,JAX,TEN,-7.4
14,MIA,LAC,-5.8
14,CAR,SEA,-1.6
14,TB,SF,0.0
14,KC,DEN,0.0
14,NE,ARI,-3.2
15,SF,SEA,3.4
15,MIA,BUF,-7.4
15,BAL,CLE,-1.1
15,IND,MIN,-1.1
15,ATL,NO,-7.4
15,NYG,WAS,-3.7
15,PIT,CAR,-1.1
15,PHI,CHI,3.4
15,KC,HOU,10.6
15,DAL,JAX,3.4
15,DET,NYJ,-2.6
15,ARI,DEN,-4.2
15,TEN,LAC,-5.3
15,CIN,TB,-3.7
15,NE,LV,-3.2
15,LAR,GB,0.0
16,JAX,NYJ,-2.6
16,ATL,BAL,-8.5
16,DET,CAR,-3.2
16,BUF,CHI,8.4
16,NO,CLE,-3.2
16,SEA,KC,-11.6
16,NYG,MIN,-5.8
16,CIN,NE,0.0
16,HOU,TEN,-7.9
16,WAS,SF,-7.4
16,PHI,DAL,-3.2
16,LV,PIT,2.2
16,GB,MIA,1.1
16,DEN,LAR,-2.6
16,TB,ARI,1.1
16,LAC,IND,0.0
17,DAL,TEN,-2.1
17,ARI,ATL,4.5
17,PIT,BAL,-6.3
17,CHI,DET,-1.6
17,JAX,HOU,1.1
17,DEN,KC,-4.2
17,MIA,NE,-1.6
17,IND,NYG,3.4
17,NO,PHI,-3.2
17,CAR,TB,-10.1
17,CLE,WAS,3.4
17,SF,LV,2.2
17,NYJ,SEA,-2.1
17,MIN,GB,-6.3
17,LAR,LAC,-1.6
17,BUF,CIN,1.1
18,TB,ATL,7.8
18,NE,BUF,-7.9
18,MIN,CHI,2.8
18,BAL,CIN,-3.2
18,LAC,DEN,-1.1
18,DET,GB,-10.6
18,HOU,IND,-9.5
18,TEN,JAX,3.9
18,KC,LV,3.4
18,NYJ,MIA,-7.4
18,CAR,NO,-3.7
18,NYG,PHI,-3.7
18,CLE,PIT,2.8
18,LAR,SEA,7.3
18,ARI,SF,-2.6
18,DAL,WAS,1.1
