AwayTeam\Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ARI,"vs KC, -4.5","@ LV, -2.6","vs LAR, -1.1","@ CAR, 1.7","vs PHI, 2.6","@ SEA, 2.8","vs NO, 3.2","@ MIN, -1.6","vs SEA, 7.4","@ LAR, -6.3","vs SF, -2.2","vs LAC, -1.1",", 0.0","vs NE, 3.2","@ DEN, -4.2","vs TB, -1.1","@ ATL, 4.5","@ SF, -2.6"
ATL,"vs NO, -6.2","@ LAR, -13.8","@ SEA, -3.7","vs CLE, -5.0","@ TB, -11.6","vs SF, -6.7","@ CIN, -10.6","vs CAR, 1.1","vs LAC, -7.8","@ CAR, -4.8","vs CHI, 1.6","@ WAS, -5.3","vs PIT, -1.7",", 0.0","@ NO, -7.4","@ BAL, -8.5","vs ARI, -4.5","vs TB, -7.8"
BAL,"@ NYJ, 7.8","vs MIA, 4.2","@ NE, 0.0","vs BUF, -1.1","vs CIN, 2.6","@ NYG, 3.9","vs CLE, 6.9","@ TB, -4.2","BYE, 0.0",", 0.0","vs CAR, 6.9","@ JAX, 4.5","vs DEN, 1.6","@ PIT, 2.2","@ CLE, -1.1","vs ATL, 8.5","vs PIT, 6.3","@ CIN, -3.2"
BUF,"@ LAR, 2.8","vs TEN, 7.4","@ MIA, 3.9","@ BAL, 1.1","vs PIT, 10.1","@ KC, 1.1",", 0.0","vs GB, 4.2","@ NYJ, 7.8","vs MIN, 8.5","vs CLE, 9.5","@ DET, 10.1","@ NE, 3.4","vs NYJ, 11.6","vs MIA, 7.4","@ CHI, 8.4","@ CIN, 1.1","vs NE, 7.9"
CAR,"vs CLE, 2.6","@ NYG, -1.1","vs NO, -1.1","vs ARI, -1.7","vs SF, -2.8","@ LAR, -9.0","vs TB, -6.2","@ ATL, -1.1","@ CIN, -7.9","vs ATL, 4.8","@ BAL, -6.9","vs DEN, -2.8",", 0.0","@ SEA, -1.6","vs PIT, 1.1","vs DET, 3.2","@ TB, -10.1","@ NO, -3.7"
CHI,"vs SF, -7.8","@ GB, -10.1","vs HOU, 3.7","@ NYG, -3.2","@ MIN, -6.3","vs WAS, -0.0","BYE, 0.0","@ DAL, -7.4","vs MIA, -3.4","vs DET, 2.1","@ ATL, -1.6","@ NYJ, -2.6","vs GB, -5.0",", 0.0","vs PHI, -3.4","vs BUF, -8.4","@ DET, -1.6","vs MIN, -2.8"
CIN,"vs PIT, 6.9","@ DAL, -2.1","@ NYJ, 5.0","vs MIA, 4.2","@ BAL, -2.6","@ NO, 1.1","vs ATL, 10.6","BYE, 0.0","vs CAR, 7.9",", 0.0","@ PIT, 2.8","@ TEN, 0.0","vs KC, -0.0","vs CLE, 1.6","@ TB, -3.7","@ NE, 0.0","vs BUF, -1.1","vs BAL, 3.2"
CLE,"@ CAR, -2.6","vs NYJ, 5.8","vs PIT, 4.2","@ ATL, 5.0","vs LAC, -3.4","vs NE, 2.1","@ BAL, -6.9","vs CIN, -3.4",", 0.0","@ MIA, -4.8","@ BUF, -9.5","vs TB, -3.9","@ HOU, 6.7","@ CIN, -1.6","vs BAL, 1.1","vs NO, 3.2","@ WAS, 3.4","@ PIT, 2.8"
DAL,"vs TB, -1.7","vs CIN, 2.1","@ NYG, 3.4","vs WAS, 6.3","@ LAR, -5.8","@ PHI, -1.1","vs DET, 7.4","vs CHI, 7.4",", 0.0","@ GB, -4.8","@ MIN, -1.1","vs NYG, 7.4","vs IND, 2.6","vs HOU, 8.5","@ JAX, 3.4","vs PHI, 3.2","@ TEN, -2.1","@ WAS, 1.1"
DEN,"@ SEA, 6.7","vs HOU, 11.1","vs SF, 3.2","@ LV, 0.0","vs IND, 3.7","BYE, 0.0","vs NYJ, 8.5","@ JAX, 7.8",", 0.0","@ TEN, 0.0","vs LV, 3.7","@ CAR, 2.8","@ BAL, -1.6","vs KC, -0.0","vs ARI, 4.2","@ LAR, -2.6","@ KC, -4.2","vs LAC, 1.1"
DET,"vs PHI, -4.5","vs WAS, -1.1","@ MIN, -6.9","vs SEA, 1.1","@ NE, -6.9",", 0.0","@ DAL, -7.4","vs MIA, -3.4","vs GB, -6.7","@ CHI, -2.1","@ NYG, -2.1","vs BUF, -10.1","vs JAX, 2.1","vs MIN, -2.2","@ NYJ, -2.6","@ CAR, -3.2","vs CHI, 1.6","@ GB, -10.6"
GB,"@ MIN, 1.7","vs CHI, 10.1","@ TB, -3.7","vs NE, 5.8","vs NYG, 6.9","vs NYJ, 10.1","@ WAS, 3.9","@ BUF, -4.2","@ DET, 6.7","vs DAL, 4.8","vs TEN, 4.8","@ PHI, 0.0","@ CHI, 5.0",", 0.0","vs LAR, -0.0","@ MIA, 1.1","vs MIN, 6.3","vs DET, 10.6"
HOU,"vs IND, -9.0","@ DEN, -11.1","@ CHI, -3.7","vs LAC, -9.0","@ JAX, -3.7",", 0.0","@ LV, -8.5","vs TEN, -5.6","vs PHI, -6.2","@ NYG, -3.2","vs WAS, -2.8","@ MIA, -7.4","vs CLE, -6.7","@ DAL, -8.5","vs KC, -10.6","@ TEN, -7.9","vs JAX, -1.1","@ IND, -9.5"
IND,"@ HOU, 9.0","@ JAX, 5.0","vs KC, -2.8","vs TEN, 3.2","@ DEN, -3.7","vs JAX, 7.9","@ TEN, -1.1","vs WAS, 6.3","@ NE, 0.0","@ LV, -2.1","vs PHI, 3.2","vs PIT, 5.8","@ DAL, -2.6",", 0.0","@ MIN, -1.1","vs LAC, -0.0","@ NYG, 3.4","vs HOU, 9.5"
JAX,"@ WAS, -3.2","vs IND, -5.0","@ LAC, -10.6","@ PHI, -7.4","vs HOU, 3.7","@ IND, -7.9","vs NYG, 1.6","vs DEN, -7.8","vs LV, -3.4","@ KC, -11.1",", 0.0","vs BAL, -4.5","@ DET, -2.1","@ TEN, -7.4","vs DAL, -3.4","@ NYJ, -2.6","@ HOU, 1.1","vs TEN, -3.9"
KC,"@ ARI, 4.5","vs LAC, 3.2","@ IND, 2.8","@ TB, -2.6","vs LV, 6.3","vs BUF, -1.1","@ SF, 1.1",", 0.0","vs TEN, 6.3","vs JAX, 11.1","@ LAC, -2.6","vs LAR, 3.2","@ CIN, 0.0","@ DEN, 0.0","@ HOU, 10.6","vs SEA, 11.6","vs DEN, 4.2","@ LV, 3.4"
LAC,"vs LV, 3.7","@ KC, -3.2","vs JAX, 10.6","@ HOU, 9.0","@ CLE, 3.4","vs DEN, 3.2","vs SEA, 9.0",", 0.0","@ ATL, 7.8","@ SF, -1.6","vs KC, 2.6","@ ARI, 1.1","@ LV, 0.0","vs MIA, 5.8","vs TEN, 5.3","@ IND, 0.0","vs LAR, 1.6","@ DEN, -1.1"
LAR,"vs BUF, -2.8","vs ATL, 13.8","@ ARI, 1.1","@ SF, 0.0","vs DAL, 5.8","vs CAR, 9.0",", 0.0","vs SF, 4.8","@ TB, -2.1","vs ARI, 6.3","@ NO, 3.4","@ KC, -3.2","vs SEA, 11.1","vs LV, 5.3","@ GB, 0.0","vs DEN, 2.6","@ LAC, -1.6","@ SEA, 7.3"
LV,"@ LAC, -3.7","vs ARI, 2.6","@ TEN, -2.6","vs DEN, -0.0","BYE, 0.0",", 0.0","vs HOU, 8.5","@ NO, -1.1","@ JAX, 3.4","vs IND, 2.1","@ DEN, -3.7","@ SEA, 2.2","vs LAC, -0.0","@ LAR, -5.3","vs NE, 3.2","@ PIT, 2.2","vs SF, -2.2","vs KC, -3.4"
MIA,"vs NE, 3.2","@ BAL, -4.2","vs BUF, -3.9","@ CIN, -4.2","@ NYJ, 3.4","vs MIN, 3.2","vs PIT, 4.8","@ DET, 3.4","@ CHI, 3.4","vs CLE, 4.8",", 0.0","vs HOU, 7.4","@ SF, -4.2","@ LAC, -5.8","@ BUF, -7.4","vs GB, -1.1","@ NE, -1.6","vs NYJ, 7.4"
MIN,"vs GB, -1.7","@ PHI, -2.6","vs DET, 6.9","@ NO, 1.7","vs CHI, 6.3","@ MIA, -3.2",", 0.0","vs ARI, 1.6","@ WAS, 0.0","@ BUF, -8.5","vs DAL, 1.1","vs NE, 2.6","vs NYJ, 5.8","@ DET, 2.2","vs IND, 1.1","vs NYG, 5.8","@ GB, -6.3","@ CHI, 2.8"
NE,"@ MIA, -3.2","@ PIT, 1.7","vs BAL, -0.0","@ GB, -5.8","vs DET, 6.9","@ CLE, -2.1","vs CHI, 6.3","@ NYJ, 2.2","vs IND, -0.0",", 0.0","vs NYJ, 6.9","@ MIN, -2.6","vs BUF, -3.4","@ ARI, -3.2","@ LV, -3.2","vs CIN, -0.0","vs MIA, 1.6","@ BUF, -7.9"
NO,"@ ATL, 6.2","vs TB, -3.4","@ CAR, 1.1","vs MIN, -1.7","vs SEA, 6.3","vs CIN, -1.1","@ ARI, -3.2","vs LV, 1.1","vs BAL, -0.0","@ PIT, -1.6","vs LAR, -3.4","@ SF, -4.8","BYE, 0.0",", 0.0","vs ATL, 7.4","@ CLE, -3.2","@ PHI, -3.2","vs CAR, 3.7"
NYG,"@ TEN, -5.8","vs CAR, 1.1","vs DAL, -3.4","vs CHI, 3.2","@ GB, -6.9","vs BAL, -3.9","@ JAX, -1.6","@ SEA, -2.6",", 0.0","vs HOU, 3.2","vs DET, 2.1","@ DAL, -7.4","vs WAS, 1.1","vs PHI, -1.1","@ WAS, -3.7","@ MIN, -5.8","vs IND, -3.4","@ PHI, -3.7"
